id,text,gold_intent
665,"Hi I'm a new customer and tried topping up for the first time today, seems it's not working, the thing shows up as pending since half an hour already! Please fix it!",pending_top_up
669,What does it mean when my top up is saying  still pending?,pending_top_up
679,"I tried topping up but my funds seem to be pending. I want to buy something right now, what do I do?",pending_top_up
680,I made a transaction this morning and would like to revert it.,cancel_transfer
681,Can i cancel a charge?,cancel_transfer
685,I need you to cancel a transfer that I made.  It is the wrong account number and the app won't let me stop the transaction.  Please stop it!,cancel_transfer
687,I would like to revert a transaction I did this morning,cancel_transfer
689,How can I cancel a transfer?,cancel_transfer
695,Can I cancel a transfer,cancel_transfer
704,I made a mistake with a transaction!,cancel_transfer
709,How do i cancel my transaction?,cancel_transfer
710,My transaction needs to be canceled.,cancel_transfer
715,"My recent transfer needs to be cancelled immediately; it was a mistake, please can you cancel it before it goes through?",cancel_transfer
720,can you limit my top up?,top_up_limits
722,Is there a top up limit for my account?,top_up_limits
725,What are the restrictions to top-offs?,top_up_limits
739,Can I top-up as much as I want?,top_up_limits
743,What is the top-ups limit?,top_up_limits
745,Is there a maximum amount of top-ups?,top_up_limits
747,What's the top up limit?,top_up_limits
751,what is the most i can top up?,top_up_limits
757,Do you have any restrictions to my top-up?,top_up_limits
759,What are the top-up limits?,top_up_limits
761,I didn't get all the cash I requested for at the ATM,wrong_amount_of_cash_received
763,Why did I not get my cash back after I withdrew?,wrong_amount_of_cash_received
765,The amount of cash I received was incorrect,wrong_amount_of_cash_received
770,"The wrong amount of cash came out of the ATM today when I went to withdraw. When I looked at the app, it was showing it was much more.",wrong_amount_of_cash_received
771,I did not get as much cash as I requested at the ATM.,wrong_amount_of_cash_received
772,"How can I request cash back? The ATM just gave me the wrong amount, the app shows the amount that I've been actually charged though...",wrong_amount_of_cash_received
779,I tried to get $100 but I just got $20,wrong_amount_of_cash_received
780,I have not received the amount of cash i was supposed to.,wrong_amount_of_cash_received
782,Where is the money that I asked for? I asked for more than I got!,wrong_amount_of_cash_received
787,I didn't receive the right amount of cash back,wrong_amount_of_cash_received
816,I made a card payment and a fee is showing up?,card_payment_fee_charged
819,Why would I be charged a fee for card payment?,card_payment_fee_charged
824,So what items  actually come  with  extra  fees,card_payment_fee_charged
825,How do I avoid getting charged a fee on my card?,card_payment_fee_charged
829,Someone needs to make me aware when there are extra charges for payments. I happened to be looking at the app earlier and noticed a charge associated to a payment that was extra that no one made me aware of before at all.,card_payment_fee_charged
830,Is using my card free?,card_payment_fee_charged
832,What fees apply when using a card?,card_payment_fee_charged
833,Why do you charge for payments? Why aren't your charges clearly laid out in the agreement?,card_payment_fee_charged
834,Why was I charged a fee when I paid with card?,card_payment_fee_charged
837,I was charged a fee for a card payment. Why?,card_payment_fee_charged
841,My money transfer has not arrived.,transfer_not_received_by_recipient
847,I transferred money but the recipient says it has not arrived. Why would this be?,transfer_not_received_by_recipient
848,The transfer I did hasn't arrived,transfer_not_received_by_recipient
849,how long do money transfers take?,transfer_not_received_by_recipient
850,I transferred some money and it didint arrive,transfer_not_received_by_recipient
853,"I just finished sending money, but it's not logging on the recipient side.",transfer_not_received_by_recipient
862,"I'm having a problem with a money transfer.  I sent some money to a friend a couple of hours ago, and they haven't received it yet.  Why hasn't it gotten to them? How long do transfers need to go through?",transfer_not_received_by_recipient
865,My friend still hasn't gotten a transaction I made.,transfer_not_received_by_recipient
875,"How long do transfers need to come through? I sent some money to a friend, she needs it urgently, but seems it's still not there yet after a couple hours.",transfer_not_received_by_recipient
877,Why hasn't my recipient received their money?,transfer_not_received_by_recipient
881,"I need support options, I want to top my card",supported_cards_and_currencies
889,can you tell me what cards and currencies you take?,supported_cards_and_currencies
894,I would like to add money to my account through my American Express.,supported_cards_and_currencies
897,What cards and currencies do you support?,supported_cards_and_currencies
898,How do I transfer funds from my American Express into my account?,supported_cards_and_currencies
905,Tell me which cards and what currency is supported.,supported_cards_and_currencies
906,Do you support all cards and currencies?,supported_cards_and_currencies
907,Which credit or debit cards can I use to top up?,supported_cards_and_currencies
909,I just have one other card from the US. Is that okay?,supported_cards_and_currencies
913,Can I use any currency to add money?,supported_cards_and_currencies
927,Where is the virtual card?,getting_virtual_card
931,Why did I not get a virtual card yet?,getting_virtual_card
935,Is this where I order a virtual card?,getting_virtual_card
939,Where can I order a virtual card?,getting_virtual_card
941,I want a virtual card!,getting_virtual_card
950,Please help me get a virtual card.,getting_virtual_card
951,Can I order a virtual card?,getting_virtual_card
953,Where are the virtual cards located?,getting_virtual_card
957,Where can I get a virtual card?,getting_virtual_card
959,Can I have one of the virtual cards?,getting_virtual_card
963,It will be fine to use at any establishment that accepts Mastercard.,card_acceptance
966,Are there any limits on where I can use my card?,card_acceptance
974,What places will accept my card for payment?,card_acceptance
975,Does this card work everywhere?,card_acceptance
977,Where can I use my card?,card_acceptance
984,Is it acceptable to use my card anywhere?,card_acceptance
986,Where is my card accepted?,card_acceptance
991,Can I make online purchases with my card?,card_acceptance
992,Does every place of business accept this card?,card_acceptance
997,Where am I able to use the card?,card_acceptance
1000,My top-up was cancelled; will I receive a refund?,top_up_reverted
1014,There appears to have been a reversion in my top up,top_up_reverted
1015,The application reverted my top-up.,top_up_reverted
1018,I topped up but the app reverted it,top_up_reverted
1023,"When I topped up, the app reverted my funds.",top_up_reverted
1024,What happened to where my top-up was canceled?,top_up_reverted
1025,I tryed to make a top-up with cryptocurrency but the payment was referted.,top_up_reverted
1032,My top-up was revoked.,top_up_reverted
1034,The app reverted what I topped up.,top_up_reverted
1038,On my last transaction it seem that my top-up was not successful.,top_up_reverted
1043,"I don't know why the deposit I made a week ago still hasn't showed up, I really need the money now.",balance_not_updated_after_cheque_or_cash_deposit
1044,I made a cash deposit almost a week ago but it's still not there!! please sort this out asap I need the money,balance_not_updated_after_cheque_or_cash_deposit
1046,How can I get the cash deposit to show up on my account?,balance_not_updated_after_cheque_or_cash_deposit
1047,When will I see the cash I deposited this morning as available?,balance_not_updated_after_cheque_or_cash_deposit
1056,Are cheques accepted to my account? Mine didn't seem to work.,balance_not_updated_after_cheque_or_cash_deposit
1062,My cash deposit from a week ago hasn't shown up. I need the money - how quickly can you sort this out?,balance_not_updated_after_cheque_or_cash_deposit
1067,Why does my account not accept cash deposits?,balance_not_updated_after_cheque_or_cash_deposit
1070,"A cheque deposit hasn't posted to my account, when will my balance update?",balance_not_updated_after_cheque_or_cash_deposit
1071,I submitted a cash deposit to my account but it hasn't posted yet.,balance_not_updated_after_cheque_or_cash_deposit
1072,I sent a cheque  a few days ago and nothing has happened to my account yet. Can you please check on this for me?,balance_not_updated_after_cheque_or_cash_deposit
1083,There is a payment that is not mine in the app.  Please advise/,card_payment_not_recognised
1085,I did not make this card payment.,card_payment_not_recognised
1086,What should I do if I see a payment I didn't make?,card_payment_not_recognised
1088,there is a transaction on my account that i didnt make,card_payment_not_recognised
1089,I don't recall making that payment?,card_payment_not_recognised
1093,Why would there be a payment on my account I don't recognize?,card_payment_not_recognised
1096,Can you freeze my account?  I just saw there are transactions on my account that I don't recognize.  How can I fix this?,card_payment_not_recognised
1097,There is a card payment I do not recognise.,card_payment_not_recognised
1103,What should I do to get transactions off of my account if I didn't make them?  My card must have been compromised and I need to freeze it asap!,card_payment_not_recognised
1113,There's a recent charge on my card that I know I didn't make because I've never seen the name before. Can we investigate this?,card_payment_not_recognised
1123,My address needs to be revised.,edit_personal_details
1127,I want to change my personal details.,edit_personal_details
1129,I need to edit the personal details section of my account,edit_personal_details
1130,Where can I change my personal information after I move?,edit_personal_details
1138,I need to update my info.,edit_personal_details
1142,Where can I go to update my personal profile?,edit_personal_details
1148,I need to change my name since I got married,edit_personal_details
1151,Can I change my information?,edit_personal_details
1154,I want to change my name.,edit_personal_details
1158,How do I change my address?,edit_personal_details
1162,do I need to verify my identity every time I log into my account?,why_verify_identity
1168,Why is identity verification mandatory?,why_verify_identity
1169,Do I have to do an identity check?,why_verify_identity
1170,I would like to not have to do the identity verification.,why_verify_identity
1171,"Can I still use my account, even though the identity verification has not passed yet?",why_verify_identity
1173,Why do you need so much information to verify my identity?,why_verify_identity
1178,"May I use my account now, even though the identity verification has not gone through yet?",why_verify_identity
1191,what is the identity check?,why_verify_identity
1193,Do I need to verify my identity?,why_verify_identity
1195,Can I use my account if the identity verification is not complete?,why_verify_identity
1201,I do not have what is required to prove my identity,unable_to_verify_identity
1202,Why doesn't the app believe I am who I say I am?,unable_to_verify_identity
1203,I am having trouble verifying my identity.,unable_to_verify_identity
1207,I'm having trouble verifying my ID.,unable_to_verify_identity
1210,The app failed to verify my identity.,unable_to_verify_identity
1217,I cannot prove my own identity.,unable_to_verify_identity
1219,I can not get the app to know it is me.,unable_to_verify_identity
1230,How long will it take for my ID to verify?,unable_to_verify_identity
1231,Why am I not able to verify my id?,unable_to_verify_identity
1236,The app won't let me log in as myself.,unable_to_verify_identity
1241,Is the PIN delivered separately?,get_physical_card
1242,I do not have my pin,get_physical_card
1254,what is my card PIN,get_physical_card
1256,About this card PIN?,get_physical_card
1260,Does my PIN come with my card?,get_physical_card
1261,Where can I find the card PIN?,get_physical_card
1263,Is my PIN located on my account somewhere?,get_physical_card
1270,Where can I find my PIN?,get_physical_card
1273,Is PIN delivered separately?,get_physical_card
1277,Where is the card PIN?,get_physical_card
1283,Do you guys accept Visa or Mastercard?,visa_or_mastercard
1295,May I choose between Visa and Mastercard?,visa_or_mastercard
1299,Am I able to choose my card?,visa_or_mastercard
1300,are both visa and mastercard available to me?,visa_or_mastercard
1307,I'd like more information about choosing a Visa or Mastercard.,visa_or_mastercard
1308,Do you have Visa or Matercard?,visa_or_mastercard
1312,I would rather the Mastercard.,visa_or_mastercard
1316,Is Visa or Mastercard available?,visa_or_mastercard
1318,Do you use Mastercard or Visa?,visa_or_mastercard
1319,Is it possible to get a Visa here?,visa_or_mastercard
1320,How can I top up my account with a card?,topping_up_by_card
1321,WHERE IS MY MONEY I WAS USING MY CARD AND IT DISAPPEARED,topping_up_by_card
1332,how can i top up?,topping_up_by_card
1341,Why isn't my top up showing on my wallet?,topping_up_by_card
1345,Is it possible to use my credit card to transfer money?,topping_up_by_card
1346,How can someone add money to my account?,topping_up_by_card
1347,Cannot access my top up.,topping_up_by_card
1352,How do i transfer money using my credit card?,topping_up_by_card
1353,My friends want to top up my account,topping_up_by_card
1356,I topped up my card but the money disappeared.,topping_up_by_card
1361,Can I make many disposable cards per day?,disposable_card_limits
1364,Can I have more than one disposable card?,disposable_card_limits
1367,Do these virtual cards have any caps on using them?,disposable_card_limits
1371,How many card payments can I use on a disposable card?,disposable_card_limits
1377,How many disposable cards is the limit?,disposable_card_limits
1381,How can I create many temporary cards daily?,disposable_card_limits
1383,How many disposable cards can I make in a single day?,disposable_card_limits
1384,Is there a limit to how many transactions I can make on one disposable card?,disposable_card_limits
1396,What are the limits for disposable virtual cards?,disposable_card_limits
1399,How many times can I use the disposable virtual card I have?,disposable_card_limits
1406,"There are transactions I didn't make, someone else must have used my card.",compromised_card
1412,How can I stop fraud on my account right now?,compromised_card
1413,"I think my identity has been stolen, can you check on unauthorized charges?",compromised_card
1424,"The transactions showing up are strange, I think my card was used without me knowing.",compromised_card
1425,How do I freeze my account?,compromised_card
1427,How do I freeze my card? I think someone is using it to make a bunch of online transactions.,compromised_card
1431,"If I feel someone has my card information, can I get a new card?",compromised_card
1433,I think someone has access to my card numbers that shouldn't.,compromised_card
1436,I think someone copied the numbers on my card and is using them.,compromised_card
1438,Can I use app to freeze my card and dispute fraud?,compromised_card
1445,How do I know which ATMs will accept this card?,atm_support
1446,Which ATM's accept my card?,atm_support
1457,Which ATM's will accept my card?,atm_support
1460,Can I get cash with this card anywhere?,atm_support
1461,Which ATMs accept this card?,atm_support
1468,What ATMs can I withdraw money from?,atm_support
1469,"I want to withdraw money, where can I go?",atm_support
1476,Do you know the closest ATM?,atm_support
1477,Can I use this card at an ATM?,atm_support
1478,Is there places where I can't withdraw money?,atm_support
1481,There is a direct debit that's not mine.,direct_debit_payment_not_recognised
1496,Unknown direct deposit,direct_debit_payment_not_recognised
1498,There is a transaction from my account that I don't recognize can you trace back the information so I can make sure it's something I did or not?,direct_debit_payment_not_recognised
1499,"A couple weeks ago some money was deducted from my account by some seller that I don't remember. I'm pretty sure I didn't do that, but is it possible to trace back who that is just to make sure?",direct_debit_payment_not_recognised
1501,"I am seeing a weird payment showing up that I know I did not make, how can I get it cancelled?",direct_debit_payment_not_recognised
1507,I have a direct debit charge that I do not recognize,direct_debit_payment_not_recognised
1508,I didn't make this direct debit transaction,direct_debit_payment_not_recognised
1512,I am concerned about the security in my account and would like to make a dispute.,direct_debit_payment_not_recognised
1513,Why is there a direct debit I didn't make showing in the app?,direct_debit_payment_not_recognised
1515,"I have a direct debit transaction I have not set up, but would like to .",direct_debit_payment_not_recognised
1520,What do I do if I forget my passcode?  Because I did.,passcode_forgotten
1525,My password isn't being accepted and I need to reset it.,passcode_forgotten
1527,Something is wrong with my passcode,passcode_forgotten
1530,Can I be given a new passcode?,passcode_forgotten
1536,I need to reset my passcode. How do I do it?,passcode_forgotten
1537,Show me please how to reset my passcode.,passcode_forgotten
1538,Help me reset the passcode.,passcode_forgotten
1543,I need help resetting my passcode to access my app.,passcode_forgotten
1553,What should I do if I forgot my passcode?,passcode_forgotten
1555,Tell me how to reset the passcode.,passcode_forgotten
1560,Can you tell me why you won't let me get my own money out of the money machine? I know I used the right PIN.,declined_cash_withdrawal
1578,What are some reasons that would cause ATM machines to decline my card? It has happened to me multiple times!,declined_cash_withdrawal
1585,Why was my cash withdrawal declined?,declined_cash_withdrawal
1586,Why could I not get cash?,declined_cash_withdrawal
1587,why couldn't I get cash in the ATM?,declined_cash_withdrawal
1588,Why can't I get cash?,declined_cash_withdrawal
1593,I couldn't get cash at the atm,declined_cash_withdrawal
1594,"Oh my goodness, my card has been declined twice at ATM! I tried two different ATM, but each one declined my card! Can you tell me what's going on with my account?",declined_cash_withdrawal
1595,Why could I not choose cash at the ATM?,declined_cash_withdrawal
1597,Is there a reason that the ATM declined my transaction?,declined_cash_withdrawal
1600,"My card payment is still on hold, why is it so?",pending_card_payment
1611,I am seeing pending from the card payment I made.,pending_card_payment
1614,I am waiting for a payment to go through.,pending_card_payment
1616,What is a pending payment?,pending_card_payment
1617,I would like to know why my purchases from this morning are still pending.,pending_card_payment
1618,Why is there a pending transaction on my card?,pending_card_payment
1621,I made a purchase and it says it's pending. What does that mean?,pending_card_payment
1626,"I was double charged, and the second charge is showing as ""pending"". How long will it be before I get my money back once the second charge has been refunded?",pending_card_payment
1628,Why would I have a pending payment?,pending_card_payment
1638,I have a pending payment in my account that I paid a while back ago and it still hasnt gone through. Why would it show pending for so long?,pending_card_payment
1645,I can't find my phone.,lost_or_stolen_phone
1656,My phone is not with me at the moment so I will not be able to access the app.,lost_or_stolen_phone
1657,my phone was taken! can you place cancel my account so no one uses it,lost_or_stolen_phone
1663,I was mugged and everything taken.  What do I do to protect my account?,lost_or_stolen_phone
1667,I was mugged yesterday and they took everything.  I can't access my app.  What are my next steps?,lost_or_stolen_phone
1669,"If I lost my phone, can someone use my account?",lost_or_stolen_phone
1670,I am not able to use the app since I forgot my phone at the hotel I was staying at.,lost_or_stolen_phone
1671,Someone stole my phone.,lost_or_stolen_phone
1672,Someone stole my cards!,lost_or_stolen_phone
1675,I lost my phone!,lost_or_stolen_phone
1685,I need a refund on an item I have not received.  Am I able to simply cancel the payment?  I don't know how to do this.,request_refund
1686,I would like a refund for something I bought,request_refund
1687,I want to return an item.,request_refund
1689,"I wasn't charged the correct amount for an item I purchased, how can I fix this?",request_refund
1702,How do I cancel a previous purchase,request_refund
1707,I would like a refund on one of your products that has been sold to me,request_refund
1712,I am chatting about an order from a long while back.  I never got it to this day and am deeply upset by this!  I want all of my money back!  I just can not accept paying for something I never got.,request_refund
1713,I bought this item and was charged the wrong amount can I get a refund?,request_refund
1715,What's the refund process?,request_refund
1716,I want a refund for my purchase,request_refund
1726,"How can I fix my card, it got declined twice.",declined_transfer
1730,The card got declined twice when I tried to use it to buy something online yesterday.,declined_transfer
1732,Why did I get a transfer declined?,declined_transfer
1742,Why was the transfer declined?,declined_transfer
1744,My transfer got declined.,declined_transfer
1748,"I tried to make a transfer, but it was declined. Can you tell me why?",declined_transfer
1750,My transfer has been declined and I know it should have went through.,declined_transfer
1751,Double check your funds may be declined,declined_transfer
1753,"Why would my transfer be declined? I've checked that I've put in all the right details, but it is still declined.",declined_transfer
1754,I tried to buy something online yesterday but it kept saying declined. Tried again today but same thing happened. What's broken?,declined_transfer
1764,There's a refund missing from my statement,Refund_not_showing_up
1767,How long does it take for a refund?,Refund_not_showing_up
1772,Still waiting on a refund.,Refund_not_showing_up
1775,I bought something and returned it and the money from the return isn't in my account.,Refund_not_showing_up
1776,Do you have any idea on when I will receive my refund? I got my statement and it was not there.,Refund_not_showing_up
1778,Where can I see the refund in my account,Refund_not_showing_up
1780,I requested a refund from a merchant days ago but I do not see it in my account.,Refund_not_showing_up
1790,"I did what you told me earlier and contacted the seller for a refund directly, but nothing is happening! It's been a week and I still haven't got anything. Please just give me back my money",Refund_not_showing_up
1796,"I am waiting patiently for a week now for the seller to get back to me and there has been no response, could you please help me further with getting my money back.  Thank you.",Refund_not_showing_up
1797,I would like some help getting a refund back from a seller. It still isn't showing up on my statement and I requested this a long time ago. I'm not sure why it's not returned yet. Can you assist me in getting this money back?,Refund_not_showing_up
1804,"My payment has been declined, I thought this issue was fixed!",declined_card_payment
1806,Why did it decline my payment?,declined_card_payment
1811,My new card keeps getting declined. I was very excited to use it for the first time today. Why is this doing this?,declined_card_payment
1815,I'm really stuck. I don't know why but my card payment has not gone through.,declined_card_payment
1817,Do you know why my card payment did not work?,declined_card_payment
1818,Something is wrong with my payment account since it has been declined,declined_card_payment
1819,Why are you declining my payment? Everything was fine.,declined_card_payment
1830,Why was my Payment declined,declined_card_payment
1831,They declined my card payment.,declined_card_payment
1835,My card didn't work in one of the shops.,declined_card_payment
1841,How long for money transfer to show?,pending_transfer
1847,So the transfer finally worked but now it's been pending for quite a long time. How long do you expect me to wait for it? It's quite urgent,pending_transfer
