id,text
t170,For what reason must I authenticate the top up?
t171,WHY IS THERE AN EXTRA FEE FOR USING THE ATM??!!!
t172,Can you tell me why I can't make any transactions?
t173,Tell me what the steps for the identity checks are
t174,When will my virtual card arrive?
t175,why didnt a transfer to my account process
t176,Is there a charge for a physical card?
t177,Why was my exchange rate a different amount than usual?
t178,Why is your exchange rate different on different days?
t179,"Hi, I made a transfer from France two days ago and thought it would be here by now. Can you give me an update please?"
t180,Why was I charged twice?
t181,I ordered my card a couple weeks ago and haven't received it yet. When can I expect it?
t182,How much is the charge for a foreign currency exchange?
t183,Why did the ATM cancel my transaction
t184,"I cannot get to my app, what should I do?"
t185,I paid with my card and I was charged a fee
t186,I thought transfers were free. Why was I charged to transfer?
t187,What forms of ID do you need for identity verification?
t188,"I had a seller reach out to me saying my money didn't come through to them, but I'm sure it was removed from my account. Can you figure out what the deal is here?"
t189,I would like to cancel my order.
t190,Please check the exchange rate for my payment last Saturday. I believe I have been overcharged.
t191,Can I put my found card back into the app on my phone?
t192,How many disposable cards can you own?
t193,Do physical cards cost money?
t194,How would I use a bank transfer for topping my account?
t195,I am having trouble activating my card.
t196,I lost my phone. Can I disable to app?
t197,How do I take a block off my card?
t198,"On the card that is coming, what's the tracking info?"
t199,Tried using my ATM card earlier at one of your locations for the first time.  It didn't work.  What is going on?
t200,I still don't have a card. How do I get one?
t201,Where do my fund come from?
t202,I am missing my refund.
t203,How long is the delivery time to the US?
t204,"There are transactions that I don't remember making, i think someone might have gotten my card details and is now using it."
t205,What are eligible holding and exchange currencies?
t206,I believe a wrong exchange rate was applied towards a cash transaction I made abroad.
t207,Would I be able to top up as much as I can?
t208,Can I transfer money using a different currency?
t209,Please tell me how to get a refund for something I bought.
t210,"There are charges on my card from the past few day I am pretty sure I didnt make, can you please freeze it for me? How do I get my money returned since it wasnt me?"
t211,Show me how to activate my card
t212,"I have my card, when whill my PIN be available?"
t213,How can we correct a mistake on an ATM transaction?  The app shows what I should have gotten.
t214,Please tell me why the purchase I made online returned payment. I really wanted this item and I've been trying for 2 weeks.
t215,How can I sign up for a virtual card?
t216,I have a canceled top-up and wanted to know about it.
t217,Please help to explain to me why my new card was declined when I tried to use it at my grocery store this morning to pay for the items I needed.  I tried three times to use it and it kept being declined.  I was very embarrassed standing there trying to buy my groceries.
t218,How long does it take for a transfer to post
t219,The bank charged me fees for withdrawing cash!
t220,Whats the limit on my top up
t221,How do i access the auto top-up option?
t222,What is the meaning of a pending payment?
t223,How much can I top up in a day?
t224,My physical card is not working
t225,"I was trying to make a transfer and got an error message telling me it was not possible to make the transfer. This has never happened before, what happened?"
t226,My statement shows an extra fee - what is it?
t227,I don't recognize the direct debit payment on my account.
t228,Where can I find the exchange rate for my transfer?
t229,I need to know which fiat currencies I can use with you.
t230,Fees for currency exchange
t231,I can't use top up on Google Pay.
t232,Card payment still pending.
t233,Why is my check still not showing up on my account? It's been a week already
t234,Is exchanging currencies a feature of the app?
t235,Are visa and mastercard accepted
t236,Can my friend send me money if it is not in US dollars?
t237,I just got my card.  It's not linked yet--how do I do that?
t238,There is a refund missing.
t239,Why does a payment show up twice?
t240,When can I expect my refund?
t241,I did a transfer but the balance is the same.
t242,You charged me more than once for the same transaction!
t243,What is the cause of the delay in applying my card payment to my account?
t244,I found a transfer fee - is that correct?
t245,"I have an account at another bank, but I want to transfer some of the money to my account here.
."
t246,"Changed details is essential, what steps do I take to do so?"
t247,How long will it take for my cash withdrawal to stop pending
t248,I don't know my password
t249,Why isn't my topup working?
t250,Why can't I take money from my account?
t251,Where did the money transfer go?
t252,What currencies do you support?
t253,"I asked for a certain amount of money from the ATM, but it gave me a different amount. Less than what I asked for."
t254,Will I be charged for topping up my account using a bank transfer?
t255,"The transfer keeps failing - I tried to transfer some money to friends this morning but it keeps getting rejected for some reason, I have no idea why"
t256,Close down my account.  I don't like your service.
t257,How long will delivery to the US take?
t258,What are the top up charges for all US cards?
t259,"My transfer was declined, why is that?"
t260,When will the money show in my account?
t261,How does your app transfer the money
t262,My money transfer hasn't appeared yet.
t263,Whats types of currency can I exchange?
t264,Help me find the transfer that I did.
t265,For some reason I am unable to preform a transfer to a beneficiary.
t266,"I tried to withdraw money, but was unable to. Still says that the transaction is pending? Will this money disappear??"
t267,What is with the need to have all my ID information?
t268,I'm interested in getting a virtual card.  How do I get one?
t269,What is the process for unlocking the pin?
t270,I would like to get a few more physical cards.
t271,"I'd like to get a Visa card, please."
t272,Where can I find your exchange rates?
t273,Am I able to get this shipped to China?
t274,My top-up hasn't happened yet.
t275,disposable virtual card can be ordered where?
t276,I have a problem with a transfer. It didn't work. Can you tell me why?
t277,Can I change my PIN on my phone?
t278,"Hi , I just came to know I made the wrong transaction  yesterday. Would  you please make it correct?I need it by tomorrow."
t279,How do I get my card on the app?
t280,The ATM won't let me take out cash
t281,"Hi, Could you please help me as someone has stolen my wallet few hours ago. And a withdrawal is made, please help immediately. As i don't want to suffer more."
t282,When do I get my card PIN?
t283,Was I charged extra for using my card?
t284,Why wasn't my contactless accepted at the metro?
t285,Is there anyway to use a cheque to top up?
t286,I made a payment that is not yet complete.
t287,Can you please assist me in completing a transfer? I'm trying and I keep getting an error. I'm trying to purchase a flat and pay the initial mortgage payment. All I keep getting is an error. Can you find out what's happening here?
t288,Why did I only receive this much currency?
t289,Why did my transfer to a beneficiary fail?
t290,Are there any restrictions for the disposable cards?
t291,Please help me find my top-up verification code
t292,I'm trying to use a cheque to top up
t293,I am having problems with my physical card.
t294,I tried to buy something online yesterday but it kept saying declined. Tried another time today but same thing happened. What's Broken?
t295,What can I use to verify my identity?
t296,I believe there is a mistake because a payment I didn't make shows in my app.
t297,how long should i wait ti activate my card
t298,Would I get a Visa or Mastercard?
t299,Why hasn't my card arrived yet?
t300,I don't want to use this method to identify myself.
t301,Do you work in Greece?
t302,Why would my top up be reverted?
t303,I accidentally exceeded my PIN tries.  Please advise.
t304,Am I able to add money into my account using my American Express?
t305,Please help me set up a new PIN.
t306,"I don't understand what a disposable virtual card is, can you help?"
t307,I wanted $100 but only got $20
t308,"Hello I made a bank account transfer from the UK. The transfer was a couple hours ago, nothing has shown up yet.  Can you check to see if everything okay. Please."
t309,I would like to cancel my previous purchase.
t310,I am travelling and I was wondering what your exchange rates are
t311,My PIN has been blocked.
t312,"My top-up was cancelled, could my bank be the problem?"
t313,"Recently, a few weeks ago there was a transaction made on my account by some seller that I don't recognize. I am very certain that didn't happen  and will like for you to trace back to make sure."
t314,I want to transfer some money from my other bank account into this one.
t315,What limits are there on the virtual cards?
t316,What does it mean if it says my card payment has been cancelled?
t317,i need a refund right away but the funds aren't available in my account
t318,The ATM machine ate my card.
t319,How will I know when I get my refund?
t320,Was there a number to track that I could get?
t321,I don't see any change in my balance.
t322,is there a limit for top up?
t323,Still waiting for transfer to be completed.
t324,"If I want to send out more cards, do you charge extra for that?"
t325,"Do you not accept crypto transfers from certain places? Because when I tried to do a top up the money just disappeared. Im not sure what to do or what I'm doing wrong, please help."
t326,What does it mean when it says that I have a payment that is pending?
t327,"My cash withdrawal was declined, why?"
t328,"I'm not happy, I want to close my account."
t329,Where can i find the virtual card?
t330,My transaction is on the wrong account.
t331,What is the return policy?
t332,I bought an item then noticed the exchange rate was wrong.
t333,What reasons would cause my card payment to be cancelled?
t334,I believe my exchange rate is incorrect
t335,Is there a way to get a virtual card?
t336,I no longer want this can i cancel my purchase?
t337,What areas are cards delivered to?
t338,I am not comfortable verifying my indentity.
t339,Are there any limits to using disposable virtual cards?
t340,The purchase I made is still pending.
t341,Does it cost anything to buy something from another country? Like is there going to be hidden transfer fees or currency conversion fees?
t342,Can you explain why my Google Pay Top isn't working?
t343,What is the process for setting up and account for my child?
t344,Can I exchange USD for GBP in your app?
t345,Do I get charged if I am receiving money?
t346,can i add funds  with a card from the united states
t347,Why is it important to verify my identity?
t348,Help please!  My rent payment is coming out tomorrow and I made a payment mistake yesterday! Can you put in in the correct account?
t349,How long would does it take for a seller to receive an EU transfer if I bought something from them and sent them the money immediately?
t350,Please help me.  I don't know my code to get into the app.
t351,They used the wrong rate when I made a purchase with foreign currency.
t352,Canceling my order is what I need to do right now.
t353,How do I close my account?
t354,"I can't get my card out of the ATM, what should I do now?"
t355,"The expiration date for my card is coming up, how do I get a new card?"
t356,How are the exchange rates for transfers calculated?
t357,What do I need to do in order to get a new card?
t358,I made a payment and it was reverted and wanted to know why?
t359,Cancel Transaction
t360,Do you need to know my first and last name?
t361,Are there fees for adding money with an International card?
t362,"How long do transfers take, mine just says pending?"
t363,I've been waiting for a refund where is it?
t364,Please tell me how disposable virtual cards work?
t365,Please update me on whether you have received the funds for the refund of the large purchase I made recently. I have requested this from the merchant days ago but still haven't got anything.
t366,The ATM keeps rejecting my Payment. I tried two different ATMs but did not work .Can you please check if everything is okay with my account?
t367,What is the proper way to activate a card?
t368,Do I have to go into the bank to change my PIN?
t369,Why is my cash still pending that I put in ATM?
t370,What are the disposable cards used for?
t371,i want to get a card but i live in the US
t372,"I know this very late, but I just went through my statements from the last couple months and there's one quite large-ish payment that I definitely haven't made. Is it still possible to dispute it?"
t373,Can you explain more about why should I verify my identity?
t374,How can I get a card sent to China?
t375,My balance was not updated after transferring money.
t376,Why is it necessary to verify the top up?
t377,Please tell me if I'm going to be charged for sending out more cards?
t378,Am I able to get a refund for something I bought?
t379,Why was I charged a fee when making this transfer when I shouldn't have been?
t380,Is there such thing as an auto top-up option?
t381,How can I tell if my card payment is reverted?
t382,My app shows cash I didn't get.
t383,I returned an item but don't see it on my account?
t384,What are the top-up fees for my card?
t385,What do I do if my top-up has not gone through?
t386,My phone is missing or stolen.
t387,How does a bank transfer for topping my account work?
t388,I need to cancel my recent transfer as soon as possible. I made an error there. Please help before it goes through.
t389,My transfer still says pending
t390,Why is checking my identity important?
t391,My card got stuck in an ATM.
t392,I believe my top up is still pending
t393,When I was drunk I got my card stuck in your machine because i mis-typed my PIN. What do I need to do to get it restored?
t394,I transferred some money to my mom 2 days ago and she has not received it. I double checked the information and it looks right. Can you help me?
t395,How can I transfer money using my credit card?
t396,What kind of ATMs would this card be accepted at?
t397,I seem to have lost my card.
t398,Tell me if there is a limit to top-up.
t399,is there a fee for swift transfer
t400,How long does a bank transfer take to show up in available funds?
t401,Transfer has failed.
t402,There is a cash withdrawal on my statement that I did not make
t403,"Transfers may show up as pending for up to one business day while they are processed, and then they'll depart for the beneficiary accounts. Please confirm that you have correctly entered your account details. SEPA transfers typically take up to two working days, while SWIFT transfers can take up to five working days."
t404,"I need to know this, where do my funds come from?"
t405,"Please help! I was looking at my account and saw a transaction with a seller I don't remember. Is it possible for you to track the sale, because I really don't think I made a payment to them."
t406,Is it possible to get a refund for the item?
t407,Can I tell if my top off didn't work?  It doesn't seem to have.
t408,Extra charge during transfer
t409,What should I do if my card payment was cancelled?
t410,Please delete my account immediately.
t411,My transfer hasn't arrived
t412,When can I expect my new card to get here?
t413,Can you give me info about what to do when my card expires?
t414,What ATMs will allow me to change my PIN?
t415,"I'm having issues with my card. You guys keep declining it for some reason. I haven't had any issues up until this point. What is going on? I've tried a handful of times with the same, unfortunate, result!"
t416,"Hi, status of one of my card payment is still pending from a while. Please let e know how much time it will take to complete."
t417,What age do you have to be to open an account?
t418,I've tried several times to make a payment and every time my card is declined? Could my card be locked? I don't know what to do.
t419,I couldn't transfer money to a beneficiery
t420,Why was my ATM withdrawal cancelled?
t421,I think someone stole my card number and brought stuff in different places that I have never been to. I need to suspend any further purchase on my credit card.
t422,I'm confused ass to why my contactless is not working.
t423,how to track the card you sent
t424,Tell me what ATMs allow me to change my PIN.
t425,Why am I seeing a transfer fee on my bank statement?
t426,Why can't my ID be verified?
t427,Where is the closest ATM to me?
t428,"Can you tell me how long it would take, to make a transfer from France? I made one 2 days ago and its not there yet."
t429,I need to check status as my friend hasn't got money I sent.
t430,Where can I located the auto-top up option?
t431,"My money has disappeared. I had recently added money in, and saw it was there and went through. Now it's gone. What is happening?"
t432,I would like help to revert a transaction I did this morning
t433,"My card has not been delivered yet and its been a week since I ordered it, please help"
t434,Is it okay to hold money in multiple currencies?
t435,Please tell me why the same transaction is showing up on my account more than once.
t436,Why have I been charged a small fee to use my card?
t437,What businesses accept my card?
t438,How long until transfers complete?
t439,I need money put into this account from another one.
t440,Can I get my card fast tracked?
t441,When can I expect a transfer from Europe to go through?
t442,There are a couple payments with my card displayed in the app which I didn't make. What is happening? Maybe someone has access to my card.
t443,Where are the cards transported to?
t444,Why hasn't my return cleared my account?
t445,how do i add money from my amex card to top up
t446,How do I replace my card?
t447,"My PIN got blocked, help."
t448,Why hasn't my cash been deposited yet?
t449,I need a physical card.  What are the fees?
t450,"I noticed my card payment was cancelled, can you tell me why?"
t451,Why hasn't my top-up finished pending yet?
t452,I made a purchase but never expected to see a fee charged for the transaction.
t453,What is the limit on disposable cards?
t454,The ATM shows a withdraw of the amount of money I requested but I didn't revieve that amount in cash.
t455,I think the exchange rate was incorrect.
t456,My credit card payment has been in pending status for a super long time.  I don't get it.  Why is it like this?  When will it go through?
t457,I didn't enjoy my tutor session and want a refund back. How do I go about doing this?
t458,Where is the money that I transferred.
t459,Can you tell me where to find my top-up verification code?
t460,"Give me back my money, I'm not paying the sellers. It has been a long time ago that I made an order and it just isn't coming."
t461,Can you check the exchange rate on a cash transaction I did overseas
t462,I completed a transfer that isn't showing up on my account.
t463,Hi I am trying to transfer money to another country but it is showing pending and it has been a long time.  I have checked numbers and they are correct.  Could you please help?
t464,Why can't I get my top up to work in Apple Pay?
t465,Where do I find the auto top up option?
t466,How do I set up my card PIN?
t467,i can not see my top up
t468,The exchange rate was messed up from the ATM
t469,how much is the fee for topping by card
t470,I need to delete my account.
t471,Someone else used my card to withdraw cash from an ATM
t472,"I withdrew some cash, when is it going to show?"
t473,How can I activate the new card i got?
t474,How do I get a real card?
t475,I need some help linking my new card.
t476,I want to shut down my account as soon as possible.
t477,"My details need to be changed, how can I do so?"
t478,On what do you base your exchange rates?
t479,I seem to be unable to make any transactions.
t480,What is preventing me from adding a specific beneficiary?
t481,My top up hasn't gone through
t482,I want to transfer money from another account into this one.
t483,Is my card valid everywhere?
t484,What fiat currencies are supported?
t485,My card stopped working. How do I check if there is a freeze on it?
t486,Who can have access to top up my account?
t487,There are a few payments in the app that I didn't make! Does someone else have my card?  What should I do?
t488,Why can't the recepient of my money transaction see it?
t489,Why would I receive an error that my transfer isn't possible when I've done it before?
t490,how many uses are the disposable cards good for?
t491,"Can Google Pay be used for top up, please help?"
t492,Why was the exchange wrong for the item I purchased?
t493,Why is there a fee for using my card?
t494,I would like to change my name after marriage.
t495,I want one of the virtual cards!
t496,How do I dispute a debit that I didn't make?
t497,Is it possible to change from USD to GBP with your App?
t498,What are the limitations on the disposable cards?
t499,I keep checking my statements but nothing shows up.I requested a refund a long time ago but seems like it's not submitting my account for some reason. Can you please help me get the money back from the seller for me
t500,What can I do to verify my card?
t501,Why is the transfer still pending?  Can I do something?
t502,My ATM withdrawal was cancelled
t503,What is the process for activating a new card.
t504,I tried to withdraw $100 but only got $20. What happened?
t505,where do I go to top up with cash?
t506,What should I do if I can't use my card?
t507,Why haven't I gotten my new card?
t508,Are there any limits if I use these virtual cards?
t509,Someone mugged my and stole everything.  I can't use the app.  What should I do?
t510,In what places can I use my card?
t511,My top up was denied
t512,I was under the impression that transfers were going to be free and here I was charged for something I bought overseas!  I don't think this fee is right
t513,My withdrawals were going smooth until I got declined today. What is going on?
t514,"How long is a top up supposed to be pending, because an hour is too long! Can you fix this to go through?"
t515,When should I expect to receive my card?
t516,I couldnt transfer money from my account.
t517,What is the purpose for verifying my identity?
t518,I am asking to end my account.
t519,Is it possible to hold money in multiple currencies?
t520,Do you have any age limit?
t521,Whats the process of tranfering money into an account?
t522,how much does it cost to add money
t523,What do I do if I already had a card with you guys?
t524,Can you show me how to top up with Google play?
t525,What would the age limit be?
t526,"My card payment is just showing up as pending since forever, what's going on with that, it should be going through at some point?"
t527,What is the extra €1 on my statement for?
t528,can other people use the app to add money to my account
t529,Can you tell me where I can withdraw money?
t530,"A few weeks ago, a strange transaction was made on my account by a seller I don't know. I am quite sure I didn't do it and will like for you to check it for me."
t531,Is it possible to get a real card?
t532,"If I were to do a transfer, what is the rate for that?"
t533,What options do I have when topping up a US card?
t534,What is the reason for the extra fee on my statement?
t535,What is the time period for money to be transferred?
t536,Can you make exchanges using the EUR?
t537,"for god sake, just delete my account i am sick of this"
t538,Can I have a second card issued to another family member?
t539,Why was I charged a fee on a cash withdrawal?
t540,The exchange rate was not correct for the item I bought.
t541,Where did this extra €1 fee on my statement come from?
t542,I don't think the exchange rate was right.
t543,I'm getting concerned here.  I sent a friend some money and she isn't seeing it.  What's going on?
t544,This isn't fair! I thought transfers could be made for free. I just made  a purchase online from abroad and now see some strange fee that I've never seen before.
t545,Which ATMs take the card?
t546,I want a backup second card. Is this possible?
t547,What is going on? I have checked over and over and the details of my account are right. Why is my transfer still pending? It's 2018 not 1818. Transfering money to another country can't be that hard.
t548,I would like more physical cards
t549,"I made a bank transfer from my UK account today, but it's not showing.  Can you check status?"
t550,Where do I unblock my PIN?
t551,Reasons for top up cancellation.
t552,"My mother deposited a cheque into my account last week, why is it still not showing up?"
t553,"I have an unknown debit charge in my statement, why?"
t554,Payment I didn't do.
t555,Why was my new card declined?
t556,It looks like my card payment might have been reverted.
t557,I need to change my contact information.
t558,I need to know how much it costs to transfer funds.
t559,How much money can I withdraw before fees? I noticed a fee on my card but I didn't think I had hit the limit of how much I could withdraw in a month.
t560,How is top-up verified?
t561,Do you have an auto-top function and how do I use it if so?
t562,Why verify the top-ups?
t563,Where do I order additional cards?
t564,Can I unblock my PIN in the app?
t565,Why is the cash withdrawal under pending?
t566,How can I request cash back? The ATM just gave me a different amount than what I've been charged though...
t567,I have a payment that hasn't went through yet.
t568,on my statement there is a payment that I don't recognise
t569,My phone has been stolen.  How can I make sure no one uses my account from it?
t570,After taking over my card transactions I noticed that was charged twice for a restaurant purchased from earlier this week. Can you please remove one of these transactions from my account since it is not accurate?
t571,what is the leadtime for a new card to show up in the mail?
t572,I can't get my actual card to work
t573,How can I tell if my top-up has been cancelled?
t574,I cannot get my card out of the ATM.
t575,"I've been waiting for something that i've ordered for months now and it still hasn't arrived. I genuinely don't know what this company is doing, but put plainly, i've had enough. Please issue a refund immediately, i would not like to waste anymore of my time on these people."
t576,"My card will expire soon, When do I need to order a new one?"
t577,What do I need to do to get my new card which I have requested 2 weeks ago?
t578,I'm having difficulty verifying my identity.
t579,Why can't I complete my transfer?
t580,I was under the impression I can make transfers for free. I made an online purchase for something that was obroad and there's some additional strange fee. I've never seen this before and this isn't fair.
t581,What is the minimum age required to open an account with your service?
t582,Is my PIN the same thing as my passcode?
t583,I can't see my refund in my history.
t584,What currencies can I use to top up my account?
t585,A transaction posted twice to my account.
t586,There's a card payment with a name I don't recognize
t587,is apple pay a top up service?
t588,Is it possible to link a new card?
t589,I tried to make a transfer but it failed. will you tell me why?
t590,The ATM I'm standing in front of only gave me 10 pounds rather than the 30 pounds I wanted. The app shows I took out 30 pounds also. What do I need to do to fix this?
t591,The recipient can not locate funds.
t592,Are there limitations to what currency I can hold?
t593,"My top-up does not seem to have worked, what  went wrong?"
t594,"If someone in a different country sends me money, do I have to pay a fee?"
t595,I want to change the wrong exchange rate.
t596,Can you tell me how to tell where my funds come from?
t597,I used my card to make a payment and wondered why the payment was reverted?
t598,"I've obtained the card, how do I enable it on the app?"
t599,Why am I being asked to verify my identity?
t600,How long until the card arrives?
t601,Are there directions to get a new passcode if I forgot mine?
t602,What on earth is up with the exchange rate! This should have been a much higher amount of cash
t603,what are limits to top up
t604,I used my card and there was a fee
t605,"I usually don't get charged for transfers, why was I this month?"
t606,I think I deserve a refunded on a certain item.
t607,Can I get another card?
t608,How long is the delivery to the US?
t609,Is my account able to be topped up by my friends?
t610,Can you tell me more about limits to disposable virtual cards?
t611,Are you sure this is the interbank exchange rate? This rate is really bad.
t612,Can I use a disposable virtual card for any purchase?
t613,Is there a way to undo a transaction?
t614,The cash I deposited using the ATM is still pending
t615,How long does a payment usually show as pending? Is it normal that mine is still pending?
t616,The top-up did not go through.
t617,how can i get it to add money automatically while travelling
t618,How many times can I enter a wrong PIN before it is blocked?
t619,i need to add express delivery if that's an option
t620,I tried to purchase airline tickets online this morning and my card information isn't working. Is there something going on with my account?
t621,What source do my fund come from?
t622,"Please cancel my most recent transfer, it was a mistake. This is an emergency. It needs to be canceled before it goes through."
t623,Will my card work at all merchant locations?
t624,"My bag was stolen from me yesterday, so I can't use any apps or anything. I need some help."
t625,"I made a card payment, but it has been declined?"
t626,There is a record of payment I never submitted on the app.
t627,"I don't want this account anymore, how do I delete it?"
t628,I have a duplicate payment on my card.
t629,"I topped up and went to buy something, but it says that my funds are pending. Is there a way to quicken this process?"
